occupation_id,skill_id,relation,occupation_label,skill_label,skill_type
http://data.europa.eu/esco/occupation/555235ce-8c45-409b-a6c9-83e69c2d2bce,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,essential,military engineer,statistics,knowledge
http://data.europa.eu/esco/occupation/555235ce-8c45-409b-a6c9-83e69c2d2bce,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,military engineer,data mining,knowledge
http://data.europa.eu/esco/occupation/555235ce-8c45-409b-a6c9-83e69c2d2bce,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43,optional,military engineer,machine learning,knowledge
http://data.europa.eu/esco/occupation/56afc09a-75a0-49c7-a5cb-256df45d8f2d,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833,essential,economic adviser,statistics,knowledge
http://data.europa.eu/esco/occupation/56afc09a-75a0-49c7-a5cb-256df45d8f2d,http://data.europa.eu/esco/skill/4f060129-8b75-4d58-a8dd-515bd8fef349,essential,economic adviser,develop financial statistics reports,skill/competence
http://data.europa.eu/esco/occupation/56afc09a-75a0-49c7-a5cb-256df45d8f2d,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,economic adviser,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/58db3ac6-5217-4d46-8a4c-126598be1d13,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,electric power generation engineer,data mining,knowledge
http://data.europa.eu/esco/occupation/58db3ac6-5217-4d46-8a4c-126598be1d13,http://data.europa.eu/esco/skill/9effa3d7-c0c4-4583-ad94-b496ba5e5f2c,optional,electric power generation engineer,data mining methods,knowledge
http://data.europa.eu/esco/occupation/58db3ac6-5217-4d46-8a4c-126598be1d13,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,electric power generation engineer,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/58db3ac6-5217-4d46-8a4c-126598be1d13,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,electric power generation engineer,analyse big data,skill/competence
http://data.europa.eu/esco/occupation/58db3ac6-5217-4d46-8a4c-126598be1d13,http://data.europa.eu/esco/skill/8369c2d6-c100-4cf6-bd83-9668d8678433,optional,electric power generation engineer,utilise machine learning,skill/competence
http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180,optional,naval architect,data mining,knowledge
http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,http://data.europa.eu/esco/skill/4216e465-7baa-4884-a241-54b197bb9278,optional,naval architect,perform data mining,skill/competence
http://data.europa.eu/esco/occupation/5a58da2b-2fa0-40d4-a9f5-fead48e7de88,http://data.europa.eu/esco/skill/47a49cd6-097d-457a-9f7b-c290c14930d5,optional,naval architect,analyse big data,skill/competence
